,100 Shooters (feat. Meek Mill)_Future,Babushka Boi_A$AP Rocky,Baby Birkin_Gunna,Baby Sitter (feat. Offset)_DaBaby,Bad Bad Bad (feat. Lil Baby)_Young Thug,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)_Mustard",Ballin' (feat. Roddy Ricch)_Mustard,Bezerk (feat. A$AP Ferg & Hit-Boy)_Big Sean,Broke As Fuck_YBN Cordae,Bussin (feat. Lil Pump)_Blueface,Camelot_NLE Choppa,Cash Shit (feat. DaBaby)_Megan Thee Stallion,Daddy (feat. Rich The Kid)_Blueface,Did It Again_Lil Tecca,Enemies (feat. DaBaby)_Post Malone,F.N_Lil Tjay,Handsome_Chance the Rapper,Hot (feat. Gunna)_Young Thug,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)_Megan Thee Stallion,Hot Shower_Chance the Rapper,Jet Lag_A$AP Ferg,Mac 10_Trippie Redd,Money In The Grave (Drake ft. Rick Ross)_Drake,My Type_Saweetie,No Cap (feat. Rich The Kid)_83 Babies,No Guidance (feat. Drake)_Chris Brown,On The Road (feat. Meek Mill & Lil Baby)_Post Malone,Pose (feat. Lil Uzi Vert)_Yo Gotti,Ransom_Lil Tecca,Richer Than Errybody (feat. YoungBoy Never Broke Again & DaBaby)_Gucci Mane,Saint-Tropez_Post Malone,Satish_Tee Grizzley,Self Control_YoungBoy Never Broke Again,Shotta Flow (Feat. Blueface) [Remix]_NLE Choppa,The London (feat. J. Cole & Travis Scott)_Young Thug,Through Da Storm_Polo G,Uno_Ambjaay,Won't Be Late (feat. Drake)_Swae Lee
100 Shooters (feat. Meek Mill)_Future,1.0,0.9394943858151207,0.9715176087251023,0.9459788590467757,0.9642495740177034,0.9590269527036476,0.9717876506012717,0.9573282730913358,0.9558826429431845,0.8908405496986108,0.9407203361682723,0.9057658958731813,0.8774118537477045,0.944664192740407,0.9586246261042725,0.9114035537537878,0.9433195502677301,0.9453486709584235,0.9590419405672667,0.9036954544252456,0.9604246321140234,0.9287373974213111,0.9709290626700195,0.9409558499607686,0.96254728634455,0.952493302153879,0.9367405362457619,0.8717633237580665,0.9544448312204519,0.9698175764303596,0.941235113186816,0.9732413183726605,0.952222826463338,0.9457943222775838,0.9716160106182445,0.9691274177411163,0.9712246672165833,0.9421927538344814
Babushka Boi_A$AP Rocky,0.9394943858151207,1.0,0.9665464224969988,0.9393020878776164,0.9504126110089427,0.9624448398281275,0.9382123898194377,0.9404066892650064,0.9424500196105559,0.9206843383415694,0.9154018212183213,0.9249131067407158,0.8999919792929622,0.9123633606301487,0.9460607350923642,0.8617116265021129,0.9579004175935931,0.9097141135307686,0.9321535117943779,0.8893760059158382,0.93088702293344,0.9075579494749962,0.9440084265196047,0.9248163700456582,0.9420961057136431,0.9369413837943402,0.9445137877164964,0.8979329919406027,0.9554124032175044,0.9593251062882229,0.921630093750953,0.9603682433576934,0.9533998715864606,0.9183088726838765,0.9553139454186631,0.9478928062784014,0.9434707045811228,0.932537477649193
Baby Birkin_Gunna,0.9715176087251023,0.9665464224969988,1.0,0.9732438571539752,0.9733956545564589,0.9802023028859131,0.9746927599198458,0.9719237987850703,0.9750215324363367,0.9171898049392558,0.9540616752727283,0.9512751949628799,0.9277018209693045,0.9531838658403025,0.9718223693699055,0.9111579921512108,0.9812564507963006,0.9466814953358866,0.9751606403930347,0.9357122396874511,0.9744845648134279,0.9474865169761394,0.9810465528820398,0.9395330215086993,0.9704154064600606,0.9713141589175841,0.9549211582590662,0.8933657288568867,0.9690245505777892,0.9838990547665245,0.944564055864718,0.9795549809877057,0.9696818244319799,0.962073071231282,0.985002444492963,0.9790196071986285,0.9704944286020923,0.9595218010901236
Baby Sitter (feat. Offset)_DaBaby,0.9459788590467757,0.9393020878776164,0.9732438571539752,1.0,0.9540299630057504,0.9442144837457335,0.9665956981804256,0.9828727508868543,0.9867118809710715,0.899043418492578,0.9862741598732798,0.9548272806672422,0.9370165762840182,0.9849132291641479,0.9583285974076883,0.9601572022034535,0.9612266432775596,0.9110025965584774,0.9737775062287906,0.9516061785781675,0.956113763941002,0.9714998479469078,0.9839590279499341,0.9437787895256401,0.9681756019191537,0.9751114118478373,0.9117769602312946,0.8634787509255557,0.9432339803213619,0.9571514971333674,0.9241321153345599,0.9554201926445052,0.9475716382209332,0.9843230055979324,0.974368421906893,0.9595917952599905,0.9468998173847699,0.9661095331085893
Bad Bad Bad (feat. Lil Baby)_Young Thug,0.9642495740177034,0.9504126110089427,0.9733956545564589,0.9540299630057504,1.0,0.9702211888901867,0.9719770187710431,0.9593561963211013,0.9545382374781061,0.8999072856321279,0.9423798980740362,0.9219860098373623,0.8967326355220466,0.9346223172095902,0.965311986025315,0.8950233027690522,0.9619536171443074,0.9436970236857525,0.9622484402230675,0.9186774406937803,0.9694681462237388,0.9285424921522776,0.9735442096201303,0.943866447989214,0.953397960290532,0.9611737371742946,0.961294557553179,0.8913869482059963,0.9629390784871498,0.9752394459831512,0.9437623083793667,0.9769720763143043,0.9682513315347873,0.9381941359409063,0.9760992993110936,0.972510619481428,0.9784255413069453,0.9552935611375402
"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)_Mustard",0.9590269527036476,0.9624448398281275,0.9802023028859131,0.9442144837457335,0.9702211888901867,1.0,0.9603697679074764,0.9457502321419806,0.9387691434201358,0.8938163652995794,0.9200739578224613,0.9127960775575835,0.8943844679035092,0.9227383841796998,0.9766176643354739,0.8600263035071738,0.9760084781807582,0.9475462015270225,0.9540643618494018,0.8926610084736238,0.9550739858179961,0.9059925909597842,0.9658965752720298,0.9238286637555673,0.9478358789479991,0.9582197068237804,0.9774099326952531,0.8982971611545771,0.987989732667015,0.985852207631322,0.948464189337245,0.9895784391706479,0.9874983618879202,0.9243621087418368,0.9800811414313764,0.9887437866341913,0.9749125487019508,0.9568566444520048
Ballin' (feat. Roddy Ricch)_Mustard,0.9717876506012717,0.9382123898194377,0.9746927599198458,0.9665956981804256,0.9719770187710431,0.9603697679074764,1.0,0.9703022442068564,0.962297265092106,0.9005841536471124,0.960882598822791,0.9080530957324069,0.893214529847798,0.9513108488515052,0.9689945614305183,0.931414686378987,0.9507092377905842,0.9631584482586082,0.967340164525707,0.9168720111440137,0.9711356532148472,0.9473199513121854,0.9829973312931872,0.9564622879358942,0.9791890985891295,0.9600817616878348,0.9430774273340459,0.884113098312971,0.9533377450847862,0.9721344278459307,0.9361149271609374,0.9766237696912048,0.969433237716484,0.9622503571563465,0.9707469453086819,0.9700618123452797,0.9779075828702918,0.9521356315264596
Bezerk (feat. A$AP Ferg & Hit-Boy)_Big Sean,0.9573282730913358,0.9404066892650064,0.9719237987850703,0.9828727508868543,0.9593561963211013,0.9457502321419806,0.9703022442068564,1.0,0.985002704696343,0.9179480641233849,0.9774407800651711,0.9528959552757849,0.9178867381688258,0.9715583225778214,0.9593532912051254,0.9420894649052074,0.9626135972495528,0.9157881445592241,0.9735495861843573,0.947469203392173,0.9604440903640861,0.9660709720798688,0.9859908972810937,0.9424728405385937,0.9613540273042986,0.9785558592245908,0.9156848148425606,0.8660917247864038,0.9430202430725847,0.9556006891502498,0.9323317066620038,0.9584230726926433,0.9432395822144513,0.9845120305228289,0.9812897083362748,0.9609005565541592,0.9587606134541125,0.9704584141239354
Broke As Fuck_YBN Cordae,0.9558826429431845,0.9424500196105559,0.9750215324363367,0.9867118809710715,0.9545382374781061,0.9387691434201358,0.962297265092106,0.985002704696343,1.0,0.898893590044115,0.9812549853512894,0.9594040508098743,0.9384392434080548,0.9778943652934565,0.9535734071267377,0.9596099284188726,0.95840118067836,0.8991183224110058,0.9670399588436623,0.9522927520230204,0.9643905221206358,0.9632631990130238,0.97747610794804,0.9463900175273984,0.9637677052922252,0.9651406947919088,0.9096938355331968,0.8585510411576637,0.928359178462554,0.9528992404921931,0.9328738481249828,0.9507947963888063,0.9361719326438475,0.9839038578053795,0.9724670489052901,0.9523472785892139,0.9492809810026356,0.958583727268377
Bussin (feat. Lil Pump)_Blueface,0.8908405496986108,0.9206843383415694,0.9171898049392558,0.899043418492578,0.8999072856321279,0.8938163652995794,0.9005841536471124,0.9179480641233849,0.898893590044115,1.0,0.8621442013819365,0.8765467936651421,0.8841710531527812,0.8511319907184346,0.9063126978894088,0.8268646765895885,0.9080947859777784,0.9002730203084787,0.9060861641415744,0.8893724813962309,0.873475870223853,0.8695357005278009,0.8984209849510403,0.886503071616317,0.8771277013038304,0.9149244028093083,0.8808366966342858,0.8311998245728721,0.9054655742202692,0.9013086095182906,0.8819843860277337,0.9064393519878571,0.8879033103211699,0.8896732834891682,0.9088096550850172,0.8955501183313346,0.8841682601952537,0.9030457108338218
