,Babushka Boi_A$AP Rocky,Baby Birkin_Gunna,Bad Bad Bad (feat. Lil Baby)_Young Thug,Ballin' (feat. Roddy Ricch)_Mustard,Bezerk (feat. A$AP Ferg & Hit-Boy)_Big Sean,Big Boy Diamonds (feat. Kodak Black & London On Da Track)_Gucci Mane,Big Stepper_Roddy Ricch,Broke As Fuck_YBN Cordae,Camelot_NLE Choppa,Carter Son_YoungBoy Never Broke Again,Did It Again_Lil Tecca,Enemies (feat. DaBaby)_Post Malone,F.N_Lil Tjay,First Class_Blueface,HIGHEST IN THE ROOM_Travis Scott,Hot Girl Summer (feat. Nicki Minaj & Ty Dolla $ign)_Megan Thee Stallion,Hot Shower_Chance the Rapper,I Wanna Rock (feat. Gunna)_G-Eazy,Mac 10_Trippie Redd,Make No Sense_YoungBoy Never Broke Again,Mood Swings_A Boogie Wit da Hoodie,ORANGE SODA_Baby Keem,On The Road (feat. Meek Mill & Lil Baby)_Post Malone,Pose (feat. Megan Thee Stallion & Lil Uzi Vert)_Yo Gotti,RAW SHIT (feat. Migos)_DaBaby,Richer Than Errybody (feat. YoungBoy Never Broke Again & DaBaby)_Gucci Mane,Routine (feat. Rick Ross & Meek Mill)_Wale,Saint-Tropez_Post Malone,Satish_Tee Grizzley,Self Control_YoungBoy Never Broke Again,Stuck In A Dream (feat. Gunna)_Lil Mosey,Through Da Storm_Polo G,VIBEZ_DaBaby,Valentino_24kGoldn,What's the Move (feat. Lil Uzi Vert)_Young Thug
Babushka Boi_A$AP Rocky,1.0,0.9675098321938055,0.9484728827632914,0.9350782696130643,0.9397504368601253,0.9500291526458117,0.9520895113841373,0.9385994865107765,0.9039138948937842,0.9656591481286569,0.897282404697437,0.9533143924248679,0.8667439663680465,0.9282801621362713,0.9520885086100034,0.9375077076522754,0.8826330591624999,0.9345418335685196,0.9078729549717566,0.9625557565636709,0.9447524747836815,0.8910425102909819,0.9507342467754629,0.9412906688668061,0.9616309395143722,0.9537550595408749,0.9393934415889292,0.9283797645195265,0.9644593856066935,0.956453163428105,0.9449811731750685,0.9528931709902791,0.9326736336202303,0.9552608691524254,0.9606247196553527
Baby Birkin_Gunna,0.9675098321938055,1.0,0.9719554211737954,0.9727643365241171,0.9719791328853413,0.9736581500118695,0.971500592499062,0.9727045732909864,0.9407601429363834,0.9752509755223323,0.943019606577236,0.9719529246121276,0.9160971506856318,0.9672005935876127,0.9711954769441654,0.9777087849073888,0.9324721611428524,0.9529285497579525,0.9467092371858167,0.9675545382554803,0.9730736137322865,0.9285824038793972,0.953776656310708,0.9418919649164326,0.9875308477455836,0.9804304417485853,0.9784968257881507,0.9497027512202502,0.9808688432922327,0.9690390626556802,0.9802799659913131,0.9759882021194557,0.9698395367675634,0.9537763475975487,0.9782685840213111
Bad Bad Bad (feat. Lil Baby)_Young Thug,0.9484728827632914,0.9719554211737954,1.0,0.9710627501850335,0.9604276109504782,0.9401186285526345,0.9623046953106232,0.9583656922073593,0.9367429656409898,0.9643016225244497,0.9276112836202342,0.9584617243460252,0.9086125080962578,0.9472188017001395,0.9443792970831415,0.9658383803599764,0.9263892118717028,0.9426647974917863,0.9397290086379942,0.9569503315607599,0.9587952245014287,0.9050634533466262,0.947671246419926,0.9379496834161924,0.9685426838114022,0.9629986073895414,0.9731073174661644,0.9447719477548381,0.9723388571240972,0.9598759597414704,0.961841690184464,0.9645234661766571,0.9553647216106396,0.934542432564409,0.9690401795563471
Ballin' (feat. Roddy Ricch)_Mustard,0.9350782696130643,0.9727643365241171,0.9710627501850335,1.0,0.9727790594139519,0.9522870984728494,0.9724123840853294,0.9687119082241115,0.9556706854295086,0.9727527233185117,0.9477145361862429,0.9622679315169501,0.9384433861792838,0.9549948514492556,0.9372968988219895,0.9686508437500049,0.9243212888408404,0.9518135678685529,0.9536632676242485,0.9549569949878153,0.9709085477231041,0.9370937194923781,0.9320545988264988,0.9234140103329269,0.9724767719598133,0.9673012088150044,0.972337171140228,0.9352272622409297,0.9722353953658809,0.9625466909932205,0.9743712105946966,0.9656205649847033,0.9606912859464012,0.9365888287858344,0.9745536925224382
Bezerk (feat. A$AP Ferg & Hit-Boy)_Big Sean,0.9397504368601253,0.9719791328853413,0.9604276109504782,0.9727790594139519,1.0,0.9311422435058573,0.9701809658948403,0.9870855215505677,0.9726437277282964,0.9577146423216195,0.9685210978568387,0.9581790085599474,0.9503245728211472,0.9390413167033538,0.9618716251322192,0.9756089169353267,0.946532769302365,0.956633557742149,0.9659608148558818,0.9481678877957437,0.982098638273679,0.9643205151172634,0.9091783932953018,0.9204063377897295,0.968736319941979,0.9424721200228395,0.9733420058364028,0.9267874284199876,0.963136715268459,0.9376128222761635,0.9831876942973703,0.9577376507469281,0.98169178019961,0.9139711196593554,0.9689664714285803
Big Boy Diamonds (feat. Kodak Black & London On Da Track)_Gucci Mane,0.9500291526458117,0.9736581500118695,0.9401186285526345,0.9522870984728494,0.9311422435058573,1.0,0.9588032122915191,0.9242003004155429,0.8972333996093402,0.9614825081874887,0.8921792346546966,0.9404450883331614,0.867681352721324,0.9582943429209835,0.9259544237306201,0.953259342641644,0.8720435453665737,0.9465567346697358,0.9101715038005942,0.9450372780430404,0.9409965874091315,0.8991365326951076,0.9392436206513138,0.9312900062656748,0.9714354856749828,0.9733550638076326,0.9422208362478938,0.9190460914301593,0.9567634591296365,0.9475002264696617,0.9543573072565245,0.950835684999891,0.9207590029983903,0.950810081857676,0.9672321190305042
Big Stepper_Roddy Ricch,0.9520895113841373,0.971500592499062,0.9623046953106232,0.9724123840853294,0.9701809658948403,0.9588032122915191,1.0,0.9614225906034529,0.9550424392135903,0.9793123526898643,0.9556921614312488,0.9629250855184321,0.936262403100914,0.9514071697484363,0.9381252868929831,0.9756850229781233,0.9104189883745915,0.9564680605182366,0.9470450518631787,0.9513999706137117,0.9801337792047724,0.9429571748138704,0.9297987527618241,0.9269671297799669,0.972449951293069,0.9723651612768844,0.9712494224038479,0.9384758191701875,0.978632405814645,0.9484841676732585,0.975201648937524,0.9680299454220663,0.956410369438013,0.9381654413594559,0.977237771859905
Broke As Fuck_YBN Cordae,0.9385994865107765,0.9727045732909864,0.9583656922073593,0.9687119082241115,0.9870855215505677,0.9242003004155429,0.9614225906034529,1.0,0.9796247033706974,0.9550416516537862,0.9748960563843531,0.9522803939296531,0.9663132031792661,0.9394666576447593,0.9625101392976344,0.9654601074079601,0.9486469564580429,0.9374607501526875,0.9654208760031071,0.9553894149380348,0.9760404944766012,0.9547772737115913,0.901410581504786,0.9087921960502225,0.9629206042316198,0.9358737058757081,0.9675582654907158,0.9231875272893173,0.9544176138937764,0.9315776044669838,0.9729626084876434,0.9493940741234066,0.984092260033608,0.9017983418940039,0.9547916876284335
Camelot_NLE Choppa,0.9039138948937842,0.9407601429363834,0.9367429656409898,0.9556706854295086,0.9726437277282964,0.8972333996093402,0.9550424392135903,0.9796247033706974,1.0,0.9295962141674309,0.9837964042995454,0.922297401058245,0.9772998353429767,0.9253812796004693,0.9331087136594295,0.9559679142370463,0.9405274473374176,0.927532655674305,0.9797134498455647,0.9388066229963035,0.9659226349241226,0.9574926526339604,0.8564127701519922,0.895904787989232,0.9441567313643432,0.9141346583084682,0.9556774382637512,0.8879926736287401,0.9314303929916335,0.8981591787228155,0.949866509641064,0.9288725855420218,0.9742373305566792,0.8773900661580155,0.9383383788539418
Carter Son_YoungBoy Never Broke Again,0.9656591481286569,0.9752509755223323,0.9643016225244497,0.9727527233185117,0.9577146423216195,0.9614825081874887,0.9793123526898643,0.9550416516537862,0.9295962141674309,1.0,0.9272238799045817,0.982565833750703,0.914667218058456,0.9409887713111064,0.9391814842066925,0.9640130492605352,0.8992574543316689,0.9606752711034395,0.9258967762320415,0.9576891281057784,0.9721480603009137,0.9218772280562297,0.9628727732155945,0.9371559771042279,0.979756111370705,0.9788779930193229,0.9730101695207787,0.9506190828864991,0.9904048375212008,0.9792755776844592,0.966983886155688,0.9805619841531829,0.9481541802138173,0.9673091708155465,0.9770041863474824
